"LRTLat","LRTLon"
"41.186485",-73.159156
"41.903852",-72.090022
"41.903852",-72.090022
"41.9213",-72.50114
"41.65186",-72.90734
"41.65186",-72.90734
"41.65186",-72.90734
"41.65186",-72.90734
"NA",NA
"NA",NA
"NA",NA
"NA",NA
"NA",NA
"41.302904",-72.889089
"41.302904",-72.889089
"41.302904",-72.889089
"41.646979",-73.078665
"41.929598",-72.552732
"41.511446",-72.82824
"41.73738",-72.65411
"41.73738",-72.65411
"NA",NA
"NA",NA
"NA",NA
"NA",NA
"NA",NA
"NA",NA
"41.48145",-72.08754
"41.347249",-72.854997
"41.347249",-72.854997
"41.5492",-73.4291
"NA",NA
"41.5492",-73.4291
"41.5492",-73.4291
"41.91782",-72.61506
"41.91782",-72.61506
"41.91782",-72.61506
"42.012796",-71.888473
"41.87347",-72.55667
"NA",NA
"NA",NA
"NA",NA
"NA",NA
"NA",NA
"41.555",-73.05
"41.555",-73.05
"41.682181",-72.872211
"41.682181",-72.872211
"41.882034",-71.914628
"41.882034",-71.914628
"41.359352",-72.889076
"41.275",-72.857
"41.837932",-72.599838
"41.475589",-72.068786
"NA",NA
"41.260368",-73.096453
"41.260368",-73.096453
"41.260368",-73.096453
"41.260368",-73.096453
"41.260368",-73.096453
"41.584",-72.717
"41.584",-72.717
"41.016539",-73.647436
"41.016539",-73.647436
"41.016539",-73.647436
"41.553554",-72.793014
"41.553554",-72.793014
"41.553554",-72.793014
"41.553554",-72.793014
"41.553554",-72.793014
"39.324488",-88.242444
"39.324488",-88.242444
"41.58452",-72.042398
"NA",NA
"41.58452",-72.042398
"41.58452",-72.042398
"41.89323",-72.708993
"NA",NA
"41.89323",-72.708993
"39.03524",-75.56044
"39.032314",-75.728523
"39.180435",-75.550973
"38.588692",-75.445419
"NA",NA
"38.588692",-75.445419
"39.732754",-75.517487
"NA",NA
"39.710422",-75.5692
"39.70547",-75.53271
"NA",NA
"39.70547",-75.53271
"39.032715",-75.724608
"NA",NA
"39.032715",-75.724608
"39.163568",-75.51531
"39.74429",-75.571822
"39.712924",-75.596355
"39.712924",-75.596355
"28.094304",-80.697541
"28.094304",-80.697541
"28.094304",-80.697541
"28.094304",-80.697541
"28.094304",-80.697541
"27.956445",-82.375364
"27.956445",-82.375364
"27.956445",-82.375364
"27.956445",-82.375364
"27.956445",-82.375364
"28.0075",-82.0444
"28.0075",-82.0444
"28.0075",-82.0444
"26.82265",-81.10734
"28.2836",-81.45732
"30.362401",-85.919834
"30.362401",-85.919834
"30.36",-85.916944
"30.2656",-85.5214
"NA",NA
"30.2656",-85.5214
"30.2656",-85.5214
